SUBDIVISION,YEAR,month,date,rainfall_mm,rainfall_zscore,extreme_precipitation_event,district,subdivision,population,area_sq_km,population_density,exposure_deficit_Dd,healthcare_deficit_Hd,mobility_access_deficit_Md,housing_vulnerability_Vd,month_sin,month_cos,is_monsoon,rainfall_lag_1,rainfall_lag_2,rolling_3_month_rainfall,monsoon_cumulative_rainfall,historical_extreme_count,risk_target,Qd,risk_prediction,Dd,Hd,Md,Vd,Rd,Sd,ddrps,risk_contribution,exposure_contribution,healthcare_contribution,mobility_contribution,housing_contribution,population_contribution,road_contribution,shelter_contribution,priority_category
COASTAL ANDHRA PRADESH,1974,3,1974-03,11.2,-0.1009042378357912,0,Chittoor,COASTAL ANDHRA PRADESH,4174064,15152.0,275.4794086589229,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,1.0,6.123233995736766e-17,0,1.5,0.1,4.266666666666676,0.0,61,0,0.2209828970391932,0,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8720702938879413,0.3090399957449055,0.4433929993360563,0.14951717261178507,0.03469514909504821,0.4510671025226202,0.2950216654950627,0.0696988877221287,0.03469514909504821,0.2950216654950627,0.0696988877221287,PRIORITY_3_MEDIUM
COASTAL ANDHRA PRADESH,1974,4,1974-04,12.9,-0.6494745409294619,0,Chittoor,COASTAL ANDHRA PRADESH,4174064,15152.0,275.4794086589229,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8660254037844387,-0.4999999999999998,0,11.2,1.5,8.533333333333344,0.0,61,0,0.3482977185058328,0,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8720702938879413,0.3090399957449055,0.4815874457760482,0.21696851589161895,0.0319434951681349,0.41529320915909756,0.27162365322078036,0.06417110579570783,0.0319434951681349,0.27162365322078036,0.06417110579570783,PRIORITY_3_MEDIUM
COASTAL ANDHRA PRADESH,1974,5,1974-05,34.9,-0.4339246831417102,0,Chittoor,COASTAL ANDHRA PRADESH,4174064,15152.0,275.4794086589229,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.4999999999999999,-0.8660254037844387,0,12.9,11.2,19.666666666666675,0.0,61,0,0.3868405042053119,0,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8720702938879413,0.3090399957449055,0.49315028148589185,0.23532816114114294,0.03119451986992625,0.4055558791162585,0.2652549260166735,0.06266649357820497,0.03119451986992625,0.2652549260166735,0.06266649357820497,PRIORITY_3_MEDIUM
COASTAL ANDHRA PRADESH,1974,6,1974-06,120.4,-0.0650954157592803,0,Chittoor,COASTAL ANDHRA PRADESH,4174064,15152.0,275.4794086589229,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,1.2246467991473532e-16,-1.0,1,34.9,12.9,56.06666666666669,120.4,61,0,0.3787648707614046,0,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8720702938879413,0.3090399957449055,0.49072759145271966,0.2315530263470808,0.03134852517175711,0.407558081933709,0.26656447221625146,0.06297587395329764,0.03134852517175711,0.26656447221625146,0.06297587395329764,PRIORITY_3_MEDIUM
COASTAL ANDHRA PRADESH,1974,7,1974-07,126.3,-0.8832754853419802,0,Chittoor,COASTAL ANDHRA PRADESH,4174064,15152.0,275.4794086589229,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,-0.4999999999999997,-0.8660254037844388,1,120.4,34.9,93.86666666666667,246.7,61,0,0.3521341166836925,0,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8720702938879413,0.3090399957449055,0.48273836522940605,0.2188353783866998,0.031867337166443445,0.41430308892462997,0.27097606238788796,0.06401811241918443,0.031867337166443445,0.27097606238788796,0.06401811241918443,PRIORITY_3_MEDIUM
COASTAL ANDHRA PRADESH,1974,8,1974-08,132.8,-0.7789653084048622,0,Chittoor,COASTAL ANDHRA PRADESH,4174064,15152.0,275.4794086589229,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,-0.8660254037844385,-0.5000000000000004,1,126.3,120.4,126.5,379.5,61,0,0.3386507670582709,0,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8720702938879413,0.3090399957449055,0.4786933603417796,0.21223446241786023,0.032136619221680325,0.4178039897590458,0.2732658361025441,0.06455907160867003,0.032136619221680325,0.2732658361025441,0.06455907160867003,PRIORITY_3_MEDIUM
COASTAL ANDHRA PRADESH,1974,9,1974-09,194.3,0.1987861339132537,0,Chittoor,COASTAL ANDHRA PRADESH,4174064,15152.0,275.4794086589229,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,-1.0,-1.8369701987210292e-16,1,132.8,126.3,151.13333333333335,573.8,61,0,0.438840431875372,0,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8720702938879413,0.3090399957449055,0.5087502597869099,0.2587755474169165,0.030237991958333484,0.39312018465124354,0.2571213262215688,0.06074493009592838,0.030237991958333484,0.2571213262215688,0.06074493009592838,PRIORITY_2_HIGH
COASTAL ANDHRA PRADESH,1974,10,1974-10,274.2,0.881662928800636,0,Chittoor,COASTAL ANDHRA PRADESH,4174064,15152.0,275.4794086589229,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,-0.8660254037844386,0.5000000000000001,1,194.3,132.8,200.4333333333333,848.0,61,0,0.3498742059080836,0,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8720702938879413,0.3090399957449055,0.4820603919967234,0.2177367428182548,0.03191215561970414,0.4148857677826013,0.27135716508007296,0.06410814795507848,0.03191215561970414,0.27135716508007296,0.06410814795507848,PRIORITY_3_MEDIUM
COASTAL ANDHRA PRADESH,1974,11,1974-11,36.3,-0.5467599845147325,0,Chittoor,COASTAL ANDHRA PRADESH,4174064,15152.0,275.4794086589229,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,-0.5000000000000004,0.8660254037844384,0,274.2,194.3,168.26666666666668,0.0,61,0,0.2439831120638734,0,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8720702938879413,0.3090399957449055,0.45029306384346035,0.16254954355484372,0.034163498086502916,0.44415517718917413,0.2905009019274103,0.06863085703431006,0.034163498086502916,0.2905009019274103,0.06863085703431006,PRIORITY_3_MEDIUM
COASTAL ANDHRA PRADESH,1974,12,1974-12,0.0,-0.4799707094716123,0,Chittoor,COASTAL ANDHRA PRADESH,4174064,15152.0,275.4794086589229,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,-2.4492935982947064e-16,1.0,0,36.3,274.2,103.5,0.0,61,0,0.170955649555912,0,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8720702938879413,0.3090399957449055,0.4283848250910719,0.11972107942586337,0.035910670281654865,0.46686993473399047,0.3053575508931863,0.07214074132180837,0.035910670281654865,0.3053575508931863,0.07214074132180837,PRIORITY_3_MEDIUM
